Dataset	Triplestore	loading time	CPU Time User	CPU Time System	Peak RAM (RSS)	Peak RAM (recursive RSS+CACHE)	file size on disk
SWDF	Blazegraph	5.770 s	42.338 s	7.199 s	5263048 KiB	5491532 KiB	34MiB
SWDF	Fuseki	3.024 s	18.642 s	3.045 s	1396924 KiB	1551488 KiB	45MiB
SWDF	GraphDB	8.450 s	79.620 s	9.494 s	14453056 KiB	14625468 KiB	84MiB
SWDF	RDF-3x	2.097 s	1.999 s	0.096 s	59404 KiB	71280 KiB	22MiB
SWDF	Tentris	2.735 s	5.314 s	0.136 s	227012 KiB	229096 KiB	/
SWDF	Triplebit	0.984 s	0.865 s	0.076 s	20632 KiB	52120 KiB	19MiB
SWDF	Virtuoso	1.768 s					201MiB
SWDF	gStore	7.315 s	6.308 s	1.007 s	1143192 KiB	1140740 KiB	1572MiB
Dbpedia 2015	Blazegraph	19229.437 s	41870.907 s	1915.710 s	112101388 KiB	179339404 KiB	63682MiB
Dbpedia 2015	Fuseki	6940.315 s	25075.092 s	979.775 s	93267380 KiB	106618316 KiB	89162MiB
Dbpedia 2015	GraphDB (preload)	6337.457 s	33717.977 s	172.008 s	77427348 KiB	297298776 KiB	50520MiB
Dbpedia 2015	RDF-3x	11044.339 s	10738.025 s	307.308 s	48914092 KiB	136730700 KiB	42268MiB
Dbpedia 2015	Tentris	7816.987 s	14809.245 s	337.591 s	398396740 KiB	399180468 KiB	/
Dbpedia 2015	Triplebit	10058.669 s	9640.550 s	384.509 s	15174008 KiB	45812476 KiB	25845MiB
Dbpedia 2015	Virtuoso	36802.469 s					46370MiB
Dbpedia 2015	gStore	24622.520 s	22295.084 s	2325.292 s	57844844 KiB	209576032 KiB	144234MiB
WatDiv10000	Blazegraph	35673.557 s	80612.840 s	5227.167 s	100900396 KiB	146416000 KiB	74593MiB
WatDiv10000	Fuseki	10904.377 s	37310.484 s	3771.562 s	89215476 KiB	128905796 KiB	123215MiB
WatDiv10000	GraphDB	8478.832 s	36897.964 s	167.308 s	77293580 KiB	154410712 KiB	49070MiB
WatDiv10000	RDF-3x	12815.520 s	12428.556 s	388.665 s	55022996 KiB	299275836 KiB	52524M
WatDiv10000	Tentris	8302.049 s	15303.676 s	328.911 s	432730324 KiB	433579156 KiB	/
WatDiv10000	Triplebit	4752.084 s	4637.496 s	112.607 s	16350140 KiB	70145232 KiB	24682MiB
WatDiv10000	Virtuoso	4310.407 s					36283MiB
WatDiv10000	gStore	17481.070 s	16049.313 s	1430.761 s	42007348 KiB	128321200 KiB	95062MiB
