"dataset","triplestore","resultsize_group","mean_pqps_for_no_client.1","mean_pqps_for_no_client.4","mean_pqps_for_no_client.8","mean_pqps_for_no_client.16","mean_pqps_for_no_client.32"
"DBpedia","Blazegraph","large",8.78948019400887,8.60845625879837,6.24657022331249,3.39205445098376,0.936964444129068
"DBpedia","Blazegraph","small",78.0639978431814,67.2847295230752,58.3310507728573,52.318827921892,2.21387213121473
"DBpedia","Fuseki","large",2.44542128595641,2.54273854312039,2.99512181804988,2.92428994099669,2.71686382388369
"DBpedia","Fuseki","small",131.03270738848,268.941755566666,300.878166982288,310.340879065535,330.732826817973
"DBpedia","GraphDB","large",5.18767682331825,4.71110119200986,3.2460428148875,0.875066626403082,0.187095017126587
"DBpedia","GraphDB","small",278.527236280619,181.292496336736,55.5816175920572,5.18737413650043,1.79299893058801
"DBpedia","gStore","large",43.2564840776831,31.727261722142,20.625362206669,5.26855544535633,1.54991471947576
"DBpedia","gStore","small",582.917521641033,364.488670858133,160.029971006641,16.074332284363,2.16685200286073
"DBpedia","Tentris","large",12.2941000281315,12.9029374770623,12.7102475312414,11.9868283584406,10.2645233659678
"DBpedia","Tentris","small",1071.89919434618,1364.77611313651,1304.31022208559,1202.87833108318,1220.81162923459
"DBpedia","Virtuoso","large",2.83012404338133,1.88376095372324,1.51453920026599,0.986215049650549,0.655920245966093
"DBpedia","Virtuoso","small",516.243698573223,636.06805217961,646.729699090329,571.947208735783,487.919228606878
"SWDF","Blazegraph","large",33.1840409313329,19.9410347821242,12.3564136507101,3.69756043996153,1.77137291022995
"SWDF","Blazegraph","small",88.3964762394733,59.1315366758544,43.8713598554769,19.9822083699646,3.87218995614692
"SWDF","Fuseki","large",6.72536668819055,1.53025971278041,0.598778695784062,0.0809251522446385,0.228283005553347
"SWDF","Fuseki","small",323.799680184884,83.5928173044745,14.9692089374488,8.91499643298213,11.8416779927907
"SWDF","GraphDB","large",5.20213748944335,4.54708592657173,0.00555554948318559,0.00555554683166235,0.00555554078580936
"SWDF","GraphDB","small",485.365503035246,285.914457613237,0.005555549491075,0.00555554684001944,0.00555554078716331
"SWDF","gStore","large",29.8544931222858,31.2624718480851,21.4873853594091,9.38820769450296,5.25666962265101
"SWDF","gStore","small",804.641571264225,679.669110220617,224.725759245204,31.2095606767187,8.17108053488981
"SWDF","Tentris","large",20.2612286687454,20.3012501122083,20.6846403356745,20.1911844846893,18.2498695976114
"SWDF","Tentris","small",2024.6572079508,1834.46471402712,1523.43298291529,1407.3624488206,1236.89908697729
"SWDF","Virtuoso","large",5.99632644177103,3.44649229370112,2.72842008151957,1.69969018088552,0.993126452941886
"SWDF","Virtuoso","small",787.082115754256,741.71903224034,708.203614683336,597.183770350924,471.480822829057
"WatDiv","Blazegraph","large",6.55828939729932,6.67726816056188,3.92322605916617,2.46983953322922,0.152160964153469
"WatDiv","Blazegraph","small",32.2651189218247,31.7106805208536,24.297979797949,20.4806363598139,0.196022968265459
"WatDiv","Fuseki","large",1.78378850255189,1.42785456769753,1.2094378524056,0.788391790650558,0.604334756943103
"WatDiv","Fuseki","small",85.0762616336069,95.3372734390452,82.5120445211451,68.6795447250018,62.3194814961638
"WatDiv","GraphDB","large",4.76702442547127,1.41599278641864,0.354846010924675,0.159623048232293,0.0729117274061043
"WatDiv","GraphDB","small",137.169953646411,1.33744544024228,0.319245494181764,0.144403908783466,0.0699540663127033
"WatDiv","gStore","large",16.00111134693,20.3493079057088,21.4729939553992,8.79739959807376,1.57484818769704
"WatDiv","gStore","small",52.9731734192651,74.5863953569287,83.9837051389162,66.3954527332358,7.9497556743875
"WatDiv","Tentris","large",9.79204914265486,19.8253098007621,19.2503916722015,13.0745740726401,7.89851770841171
"WatDiv","Tentris","small",255.659489118333,440.141775540187,469.919135649788,386.89348089448,535.228046299282
"WatDiv","Virtuoso","large",2.30908317952443,1.66647584921419,1.42122353292912,1.26109155112578,0.865061373373303
"WatDiv","Virtuoso","small",101.197083269202,108.290746010075,115.397441027995,130.069216252571,117.007479715132
